26-06-04 21:39:06: Training starting...
Episode 530: total reward -31.2, steps 208
Episode 531: total reward 2.9, steps 181
Episode 532: total reward -42.6, steps 122
Episode 533: total reward -17.6, steps 192
26-06-04 21:39:18: Episode 533 | New best mean reward: -61.1
Episode 534: total reward 2.3, steps 140
26-06-04 21:39:18: Episode 534 | New best mean reward: -60.2
Episode 535: total reward -245.0, steps 200
Episode 536: total reward -46.2, steps 158
Episode 537: total reward -17.6, steps 136
Episode 538: total reward -47.7, steps 222
Episode 539: total reward -71.5, steps 169
Episode 540: total reward -64.2, steps 200
Episode 541: total reward -58.9, steps 163
Episode 542: total reward -199.9, steps 927
Episode 543: total reward -11.1, steps 123
Episode 544: total reward -92.8, steps 175
Episode 545: total reward 6.9, steps 174
Episode 546: total reward -72.6, steps 196
Episode 547: total reward -68.1, steps 175
Episode 548: total reward -55.6, steps 238
Episode 549: total reward -29.4, steps 93
Episode 550: total reward -78.1, steps 233
Episode 551: total reward -209.1, steps 318
Episode 552: total reward -157.2, steps 209
Episode 553: total reward 13.7, steps 145
Episode 554: total reward -154.0, steps 147
Episode 555: total reward -238.8, steps 159
Episode 556: total reward -142.3, steps 236
Episode 557: total reward -214.3, steps 174
Episode 558: total reward -196.2, steps 325
Episode 559: total reward -88.0, steps 246
Episode 560: total reward 36.9, steps 156
Episode 561: total reward -56.0, steps 196
Episode 562: total reward -12.6, steps 222
Episode 563: total reward -174.5, steps 647
Episode 564: total reward -135.3, steps 355
Episode 565: total reward -45.2, steps 1000
Episode 566: total reward -9.5, steps 359
Episode 567: total reward -47.9, steps 247
Episode 568: total reward 1.7, steps 145
Episode 569: total reward 7.3, steps 194
Episode 570: total reward 4.8, steps 124
Episode 571: total reward -30.0, steps 248
Episode 572: total reward -280.0, steps 624
Episode 573: total reward 0.1, steps 156
Episode 574: total reward -13.3, steps 105
Episode 575: total reward -107.7, steps 189
Episode 576: total reward 7.7, steps 1000
Episode 577: total reward 12.2, steps 143
Episode 578: total reward -122.1, steps 117
Episode 579: total reward 28.8, steps 1000
Episode 580: total reward 29.0, steps 1000
Episode 581: total reward -16.0, steps 158
Episode 582: total reward 41.4, steps 142
Episode 583: total reward -36.5, steps 133
Episode 584: total reward -12.0, steps 168
Episode 585: total reward -78.9, steps 208
Episode 586: total reward -80.0, steps 169
Episode 587: total reward 4.3, steps 162
Episode 588: total reward -1.6, steps 1000
Episode 589: total reward -58.6, steps 114
Episode 590: total reward -258.0, steps 235
Episode 591: total reward 58.3, steps 1000
Episode 592: total reward 33.3, steps 146
Episode 593: total reward -38.8, steps 1000
Episode 594: total reward -73.2, steps 145
Episode 595: total reward 29.5, steps 166
26-06-04 21:39:21: Episode 595 | New best mean reward: -58.7
Episode 596: total reward -51.5, steps 162
Episode 597: total reward -35.1, steps 188
Episode 598: total reward 42.0, steps 201
26-06-04 21:39:21: Episode 598 | New best mean reward: -56.2
Episode 599: total reward -64.2, steps 200
Episode 600: total reward -68.7, steps 170
26-06-04 21:39:21: Episode 600 | New best mean reward: -56.2
Episode 601: total reward 22.3, steps 110
26-06-04 21:39:21: Episode 601 | New best mean reward: -55.6
Episode 602: total reward -74.8, steps 212
Episode 603: total reward -128.5, steps 169
Episode 604: total reward -6.5, steps 138
Episode 605: total reward -17.4, steps 105
Episode 606: total reward 17.9, steps 218
26-06-04 21:39:21: Episode 606 | New best mean reward: -55.3
Episode 607: total reward 26.4, steps 107
26-06-04 21:39:21: Episode 607 | New best mean reward: -54.2
Episode 608: total reward 12.7, steps 172
26-06-04 21:39:21: Episode 608 | New best mean reward: -54.0
Episode 609: total reward -31.6, steps 225
